-,date,time,username,name,tweet,geo,Positive,Happy,Relief,Neutral,Anxious,Sad,Negative
14,2020-07-01,20:24:45,hanifpatel16,Hanif Patel,mira geeta jain test covid positive,Maharashtra,0,0,0,1,0,0,0
15,2020-07-01,20:24:38,sudesh912,Sudesh,why take order if cannot fulfil completely covid time but and harrow experience not give option cancel look when and delay,Maharashtra,0,0,0,0,0,0,1
16,2020-07-01,20:24:26,rokthoklekhani,दैनिक रोखठोक लेखनी,covid मुंबई में लागू,Maharashtra,0,0,0,1,0,0,0
17,2020-07-01,20:17:34,rach_virdi,Rachna Virdi,covid warrior power,Maharashtra,0,0,0,1,0,0,0
18,2020-07-01,20:02:29,neetu_chandra,Neetu Chandra Srivastava,urgent plasma covid recover patient blood group hospital fortis shalimar bagh new delhi contact number thank <SAD>,Maharashtra,0,0,0,0,0,0,1
19,2020-07-01,19:47:53,hira249,Kamlesh  Shah,pl put ban live government statement goat and r not covid nothing prove do far hence risk,Maharashtra,0,0,0,0,1,0,0
20,2020-07-01,19:41:02,aipcmaha,AIPC - Maharashtra,new lockdown rule mumbai travel km car impound mumbai police go come who rule vehicle impound order curb spread covid,Maharashtra,0,0,0,0,0,0,0
21,2020-07-01,19:40:48,niteshcasm,Nitesh,earlier set covid warrior club n free ration ache din bengal,Maharashtra,0,0,0,1,0,0,0
22,2020-07-01,19:36:48,parthab98368030,Partha Basu,national doctor day tribute nd cm wb dr bidhan chandra roy india salute doctor care giver who fight against covid,Maharashtra,0,0,0,0,0,0,1
23,2020-07-01,19:35:36,srkzpaaro,Joycee,<LAUGH>,Maharashtra,0,0,0,1,0,0,0
24,2020-07-01,18:56:57,hanifpatel16,Hanif Patel,e date july time pm new positivept deathpt dischargept,Maharashtra,0,0,0,1,0,0,0
25,2020-07-01,17:59:14,pareshkatariaa,Paresh Kataria,hai ji se pyaar karo woh ke chale hai love covid,Maharashtra,0,0,0,1,0,0,0
26,2020-07-01,17:52:44,rangonspeaks,Rangon Chetterjee,new song salute frontline covid warrior and write go check,Maharashtra,0,0,0,1,0,0,0
27,2020-07-01,17:19:06,sovanbhattach13,🌼GOD💓FATHER🙏,word may fall short express gratitude doctor national doctor day year doctor work lead war against covid change how look life when,Maharashtra,0,0,0,1,0,0,0
28,2020-07-01,16:39:47,pradeep39608566,Pradeep@123,covid ke main hai se lo,Maharashtra,1,0,0,0,0,0,0
29,2020-07-01,15:31:00,dutchieindia,Dutchie Yoghurt Drink,special thankyou doctor who front fight covid dutchie india wish doctor across india happy doctor’s day” <PERSON> <SYMBOLS> <ACTIVITIES> <PERSON> <SAD>,Maharashtra,1,0,0,0,0,0,0
30,2020-07-01,15:23:37,chopralkc,lilakrishan chopra.,china give booster dos covid virus health minister check please china may perfect new virus,Maharashtra,0,0,0,1,0,0,0
31,2020-07-01,15:12:20,sagarsalunke27,सागर उवाच...,आपण शुभेच्छा <SYMBOLS> महामारी covid दे <SAD> ाढी एकादशी ाढीएकादशी२०२०,Maharashtra,0,0,0,0,0,0,1
32,2020-07-01,15:05:46,drpapajr,Dr Papa Jr,without world well place make difference during time crisis day gratitude covid warrior,Maharashtra,1,0,0,0,0,0,0
33,2020-07-01,14:44:31,rashmi_mpys,Rashmi Bhandari,िलापतंजलिमुंबई top group ayurved make medicine and use herb which may hold strong potential fight covid ोरोनिलविजय ंजलिविजय,Maharashtra,0,0,0,1,0,0,0
34,2020-07-01,14:43:45,rashmi_mpys,Rashmi Bhandari,िलापतंजलिमुंबई ramdev run medicine coronil help cure covid cause novel coronavirus ोरोनिलविजय ंजलिविजय,Maharashtra,0,0,0,0,0,0,1
35,2020-07-01,14:32:30,akshay9000gupta,Akshay Gupta,thank doctor who fight covid keep u safe,Maharashtra,0,0,0,0,0,0,0
36,2020-07-01,14:29:22,ankitadsinha,Anky_Sinha,u leave none uk europe or rest world u buy world stock key covid drug,Maharashtra,0,0,0,1,0,0,0
37,2020-07-01,14:28:45,rashmi_mpys,Rashmi Bhandari,covid की बनाने की के भारत की के क्षेत्र से बड़ी है कि ने विश्व में और का,Maharashtra,0,0,0,1,0,0,0
39,2020-07-01,14:13:42,kewalhanda,kewal Handa,never object when use covid effort why complain,Maharashtra,0,0,0,1,0,0,0
41,2020-07-01,23:57:10,sangeetabjp,Sangeeta Tyagi Sharma पूर्व प्रधानाचार्या,covid period facility passenger railway new km railway line new piduguralla savalyapuram andhra pradesh,Delhi,0,0,0,1,0,0,0
42,2020-07-01,23:32:44,abhishektr,Abhishek Tripathy,absolutely do not think regard public health or covid imply anywhere say,Delhi,0,0,0,0,0,0,1
43,2020-07-01,23:03:59,vishalkaushik84,Vishalkaushik84@gmai,covid china give various virus,Delhi,0,0,0,1,0,0,0
44,2020-07-01,23:02:35,vishalkaushik84,Vishalkaushik84@gmai,go ahead covid china country,Delhi,0,0,0,1,0,0,0
45,2020-07-01,22:36:20,ramikchaudhary,Dr Ramik Chaudhary,need urgent plasma covid recover person bg fr who also work covid hsptl mother mr madhu covid b l ventilator park hospital chaukhandi new delhi plz contact drsumit,Delhi,0,0,0,0,0,0,1
46,2020-07-01,22:20:51,aashishvsharmaa,24,even employee despite during lockdown why would hit due covid won’t view,Delhi,0,0,0,0,0,0,0
47,2020-07-01,22:11:14,prashantgwari,Prashant,day not far away when arrange bed total entire population delhi,Delhi,0,0,0,1,0,0,0
48,2020-07-01,22:02:17,mukeshindia1,Mukesh Aggarwal,immunity booster heartily congratulation save india and love indian,Delhi,0,0,0,1,0,0,0
49,2020-07-01,21:53:18,ashishbadshah,Dr.Ashish Gupta,when arnab grill hour police station call someone original name time covid mumbai well arrange bus shift residence remember arrange bus,Delhi,0,0,0,0,1,0,0
50,2020-07-01,21:35:21,vishnuc89499401,Vishnu Chandra,salute doctor real and covid warrior happy doctor day,Delhi,0,0,0,1,0,0,0
51,2020-07-01,21:29:39,karanra52916649,Karan Rana,sir se kitne bed par available h please ye bhi clear kar do wo wale bed ho ya hotel or wale or kitne bed h sir bahut h logo sab please say something covid bed,Delhi,0,0,0,0,0,0,0
52,2020-07-01,21:27:47,nitinkumar9488,नितिन सूर्यवंशी,जी ये भी covid से कब कब तक,Delhi,0,0,0,0,0,0,1
53,2020-07-01,21:03:06,ayushbagde5,Ayush Bagde,why would relative allow not normal accident case or something else which relative allow covid infection and important not allow anyone meet patient,Delhi,0,0,0,0,1,0,0
54,2020-07-01,20:47:55,gdalmiathinks,Gaurav Dalmia,what go u result cannot attribute or covid or economic get,Delhi,0,0,0,0,1,0,0
55,2020-07-01,20:41:06,meshivamahuja,Shivam Ahuja,covid recover ganga ram hospital m,Delhi,0,0,0,1,0,0,0
56,2020-07-01,20:08:53,radhikadubjp,Radhika Abrol 🇮🇳 #StayHome 🏠 #StaySafe,pm meeting review planning and preparation vaccination against covid via namo app,Delhi,0,0,0,1,0,0,0
57,2020-07-01,20:01:27,sidhant,Sidhant Sibal,german eu speak europe world view call multilateralism germany today president eu month unsc month,Delhi,0,0,0,1,0,0,0
58,2020-07-01,19:50:09,mm_0774,ℳℴ𝓃𝒾𝓀𝒶 𝒦ℴ𝓊𝓁 (𝖐𝖆𝖘𝖍𝖒𝖎𝖗),die and least guest test positive covid after wedding india,Delhi,0,0,0,0,0,0,1
59,2020-07-01,19:43:57,nainamdar,Neeraj Inamdar,covid takeaway optimal care comorbidities availability bed oxygen and timely admission surely reduce mortality combine remdesvir dexa and plasma therapy,Delhi,0,0,0,1,0,0,0
60,2020-07-01,19:34:42,surinde86933646,Surinderkumar Bhat,really how banglow wait sonia vacate banglows which could serve covid hospital instead,Delhi,1,0,0,0,0,0,0
61,2020-07-01,19:32:45,vishalkapoor91,Vishal Kapoor,and would also say covid not fat tail would continue surprise and if indeed would apply business vary degree market and business don’t seem give kind,Delhi,0,0,0,0,1,0,0
62,2020-07-01,19:30:41,vishalkapoor91,Vishal Kapoor,concession take time process start time bid award and start operation give good headway unless believe covid stay or new virus would sure next pandemic would say time,Delhi,0,0,0,0,0,0,1
63,2020-07-01,19:21:26,rajivku99805791,Rajivkumarpatel6996,ok toh last indian company gelmark n indian treatment forward indian market cronil tablet n injection crona covid worrification n find first international move world wide fell happy,Delhi,0,0,0,1,0,0,0
65,2020-07-01,18:53:36,deeptimanty,Deeptiman Tiwary,meeting hm amit shah health minister harsh vardhan and rajiv gauba among others end review overall situation country say harshvadhan,Delhi,0,0,0,1,0,0,0
66,2020-07-01,18:37:50,omkaraap,"🇮🇳Omkar Yadav,🇮🇳एक आम आदमी 🇮🇳",delhi govt go prepare one covid village cwg after world big covid village k bed help central govt sop crub covid <NEUTRAL> test identification treatment result recover k,Delhi,0,0,0,0,0,0,1
67,2020-07-01,17:51:10,drsunda,Dr. L C Sunda,long doctor try new covid patient via,Delhi,0,0,0,1,0,0,0
68,2020-07-01,17:48:51,drsunda,Dr. L C Sunda,prevent arrhythmia covid patient psychotropics via,Delhi,0,0,0,1,0,0,0
69,2020-07-01,17:27:44,exatraveller,Pradeep Chamaria,how work culture change covid era try show late transcontinental time spain positive impact covid work culture,Delhi,0,0,0,1,0,0,0
70,2020-07-01,17:18:31,pmipl_media,Pranab Prakhar,railway hospital sprung uncertain pandemic time covid give hospital railway platform covid hospital railway railway hospital sprung platform to…,Delhi,0,0,0,1,0,0,0
71,2020-07-01,17:06:35,manmohini2,ManMohini Kaul,see preparation delhi set bed covid patient many wonder delhi govt and centre give contain pandemic,Delhi,0,0,0,1,0,0,0
72,2020-07-01,16:50:13,imaditiofficial,Aditi Chaturvedi,salute yr old dr who walk everyday km nayak hospital treat covid patient when public transport shut during lockdown gratitude u medical who continue time crisis <SAD>,Delhi,0,0,0,0,0,0,0
73,2020-07-01,16:40:45,harrytweetsat,Harry Sachdeva,salute doctor and health expert effort during covid pandemic and save life happy doctor day,Delhi,0,0,0,0,0,0,0
74,2020-07-01,16:38:58,chiragt78086309,Asim Squad 🤘🤘🤘,happy doctor day include brother bhai side whole thank serve continuously during covid <SAD>,Delhi,0,0,0,1,0,0,0
75,2020-07-01,16:34:47,laxmissingh,Adv Laxmi Singh,let add when astha society highly n helpless help needy dry ration tym covid may mr ankit gupta who one tweet help u serve needy,Delhi,0,0,0,0,0,0,1
76,2020-07-01,16:33:33,pairsonnalitesa,Stigmabase | ASIA,utc india record big single day spike covid case tally reach record single day surge covid case push india tally health ministry say inform gom central,Delhi,0,0,0,0,0,0,1
77,2020-07-01,16:27:16,vig_anil,ANIL KUMAR VIG,china try best covid way attack great but why great still not dare take direct action against china <SAD> ,Delhi,0,0,0,0,0,0,1
78,2020-07-01,16:10:41,pradeep__maurya,Pradeep__Maurya,do not know pic but check human human transmission covid,Delhi,0,0,0,1,0,0,0
79,2020-07-01,15:59:12,meshubhamjain,Shubham Jain,express gratitude health worker protect life patient best wish health worker doctor day show time pandemic where even government around world fail,Delhi,0,0,0,0,0,0,1
80,2020-07-01,23:41:32,shirtshanks,Sharath Ravishankar,nice try covid,Karnataka,0,0,0,1,0,0,0
81,2020-07-01,23:27:18,justmihir,FPL Skinny Panda ⚽🐼,non covid related norwich non covid related,Karnataka,0,0,0,1,0,0,0
82,2020-07-01,23:23:49,manonive,Manoj Narayan,covid fear clear ground level,Karnataka,0,0,0,0,0,0,1
83,2020-07-01,22:54:34,prajwalmanipal,Prajwal,july karnataka report covid case case report bengaluru,Karnataka,0,0,0,1,0,0,0
84,2020-07-01,22:30:49,ajaysin24156381,Ajay Singh,sir covid case spread dangerously unemploments high point salary cut overall across industry sale huge door but market high do not make sense time trap small investor,Karnataka,0,0,0,0,1,0,0
85,2020-07-01,22:28:02,praveenphotog,Praveen P,mandatory write photograph it’s image or use delhi covid center or take,Karnataka,0,0,0,1,0,0,0
86,2020-07-01,21:58:36,ktthimmareddy,KTthimmareddy,when area declare containment zone whether bangaluru way declare containment zone when covid hospital lab quarantain centre where need set covid care centre huge,Karnataka,0,0,0,0,1,0,0
87,2020-07-01,21:56:47,justmihir,FPL Skinny Panda ⚽🐼,god service go during covid every day broadband outage completely understand why bud pretty if decide get shit together almost,Karnataka,0,0,0,1,0,0,0
88,2020-07-01,21:41:38,vipuldureja,Vipul Dureja,flight e number revl cancel due covid and refund amount r issue against number,Karnataka,0,0,0,0,0,0,1
89,2020-07-01,21:28:22,sem303,SS,day road bellandur road less europe traffic even during pm cycle cannot ask but or long without plan post covid scare,Karnataka,0,0,0,0,0,0,1
90,2020-07-01,21:09:37,ravindr27308593,Ravindra,shame how covid management do common people not get bed shame shame,Karnataka,0,0,0,0,0,0,1
91,2020-07-01,21:07:34,shevititan,shekhar vijayan,wait <HAPPY>,Karnataka,0,0,0,1,0,0,0
92,2020-07-01,20:57:25,kushjain1505,Kush,due covid situation flight get cancel and expect travel before th august travel and demand total refund not useless app credit s flight service not fully currently,Karnataka,0,0,0,0,1,0,0
93,2020-07-01,20:55:17,iamhabeel,Habil Mohidin,dear please help understand why r hospital add rule highly fr patient proper hospital r look make money people safety,Karnataka,0,0,0,0,1,0,0
94,2020-07-01,20:39:29,rajpatil_sss,Raju Patil ರಾಜು ಪಾಟೀಲ್ (S/o B S Patil),dear please share private hospital list get admission covid bengaluru,Karnataka,0,0,0,1,0,0,0
95,2020-07-01,20:35:14,maxmelbin,maxmelbin,karnataka give drug critical covid patient favipiravir,Karnataka,0,0,0,0,0,0,0
96,2020-07-01,19:50:15,guruprasadgudi,Guruprasad B Gudi|ಗುರುಪ್ರಸಾದ ಬಿ ಗುಡಿ,best time stay single house apartment during covid pandemic,Karnataka,0,0,0,1,0,0,0
97,2020-07-01,19:49:07,inficoreal,infic O real,and affected world,Karnataka,0,0,0,1,0,0,0
98,2020-07-01,19:11:41,ajayrotti,Ajay Rotti,link covid already,Karnataka,0,0,0,1,0,0,0
99,2020-07-01,18:56:47,vinodsony,Vinod Jacob,let make safer street covid safety,Karnataka,0,0,0,1,0,0,0
100,2020-07-01,18:52:04,mrraotweets,Rajendra N R Rao,growth covid case also recede bad afraid not,Karnataka,0,0,0,0,0,0,0
101,2020-07-01,18:37:19,ryanchadha,Talking through my mask,happy health front line covid probably not what thought would tackle when decide become but please know what do,Karnataka,0,0,0,0,0,0,1
102,2020-07-01,18:02:12,sharma26nilesh,Nilesh Sharma,yogi amit shah ji tackle vishad and plan leave citizen amid tv and covid test inspite,Karnataka,0,0,0,1,0,0,0
103,2020-07-01,17:15:48,sirigowrina,Siri,bengaluru covid case increase day day and government hospital full not death th recovery what karnataka government do solve save bengaluru police <SAD>,Karnataka,0,0,0,0,0,0,1
104,2020-07-01,16:58:35,iparitosh39,Paritosh Nimbalkar,wedding cause big covid infection chain bihar dy test positive,Karnataka,0,0,0,1,0,0,0
105,2020-07-01,16:18:05,mr_rajaguru,Raghava Rajaguru ⚡,simple but effective kg <SAD> <SPACE-TIME> bangalore,Karnataka,0,0,0,1,0,0,0
106,2020-07-01,15:36:37,noel53110396,Noel,sir student left clear sir appear exam conduct march due covid get postpone far date and get postpone please sir do not waste time respect promote u,Karnataka,0,0,0,0,1,0,0
107,2020-07-01,15:27:55,djsujith,Sujith,dont create politics focus control covid control nothing else,Karnataka,0,0,0,1,0,0,0
108,2020-07-01,14:04:08,mundra08,Dr.Divyesh B Mundra 🇮🇳🏥,karnataka government health dept take notice year old covid patient treatment hospital bangalore city,Karnataka,0,0,0,1,0,0,0
109,2020-07-01,13:49:00,bestbsanjay,sanjay jain,respect sir bengaluru city get affected it’s get bad day day lack bed hospital treatment etc request centre govt take proper care covid city,Karnataka,0,0,0,0,1,0,0
110,2020-07-01,13:34:15,gowrav_pk,KalyanFanatic,covid problem state public health srinivasa rao test positive,Karnataka,0,0,0,1,0,0,0
111,2020-07-01,13:30:38,buddha2019,ashok,today covid what doctor daily <DOUBT>,Karnataka,0,0,0,1,0,0,0
112,2020-07-01,12:48:45,deepu_vandhan,Deepu Vandhan,salute doctor who responsibility and service commitment health save life commitment save people life during pandemic incomparable,Karnataka,0,0,0,0,0,0,1
113,2020-07-01,11:39:45,kiocllimited,KIOCL Limited,view increase positive case bengaluru kiocl conduct awareness program employee security staff work office bengaluru take extra precaution prevent spread coronavirus,Karnataka,0,0,0,1,0,0,0
114,2020-07-01,11:21:50,akhilursnsui,Akhil urs official,doctor’s day express gratitude always u serve u doctor true warrior save people world pandemic covid warrior work society wish happy doctor would ay,Karnataka,0,0,0,0,0,0,1
116,2020-07-01,11:13:36,subhashvijay17,Subhash Vijay,<PERSON>  <SYMBOLS> <OBJECT>  <SPACE-TIME> <PERSON> cure disease but doctor cure patient salute doctor and also medical work worry against covid,Karnataka,0,0,0,0,0,0,1
117,2020-07-01,11:04:23,narayaindi,ನಾನು ಕನ್ನಡಿಗ Indresh N🇮🇳,joke day official may come back new strand hn well don’t lie pls check try contain before go hand like covid,Karnataka,0,0,0,1,0,0,0
119,2020-07-01,11:02:02,geetha64299167,Geetha,good strategy though play after month since covid enter ondia,Karnataka,0,0,0,1,0,0,0
120,2020-07-01,23:20:42,manish_indiatv,Manish Bhattacharya,make pic doctor and who pass away and see difficult doctor easy,Rajasthan,0,0,0,1,0,0,0
121,2020-07-01,20:46:55,avantika97,Avan The Typo Queen,india’s population never go take covid seriously,Rajasthan,0,0,0,1,0,0,0
122,2020-07-01,20:17:33,stedmundsschool,St. Edmund's School,when world survive pandemic probably well time appreciate effort and hard work salute doctor,Rajasthan,1,0,0,0,0,0,0
123,2020-07-01,17:56:47,ngsukhlecha,iam@scorpio,why game something routine and normal,Rajasthan,0,0,0,1,0,0,0
124,2020-07-01,17:47:06,ngsukhlecha,iam@scorpio,would not even say get covid what usually and get even when covid not around do not name and treat generically,Rajasthan,0,0,0,0,0,0,0
125,2020-07-01,17:05:34,dayasha76532288,Daya Shankar Sharma,who hope time today watch covid crisis and how,Rajasthan,0,0,0,1,0,0,0
126,2020-07-01,16:21:48,engr_kasharma,KISHORE KUMAR SHARMA,doctor day sir felicitation lead role fight against covid also extend good wish entire team warrior and particular doctor who fight national cause big u and entire team,Rajasthan,0,0,0,0,0,0,0
128,2020-07-01,11:19:48,anilchoprainc,𝗔𝗡𝗜𝗟 𝗖𝗛𝗢𝗣𝗥𝗔 🇮🇳,covid warrior white coat save life thank and salute,Rajasthan,1,0,0,0,0,0,0
129,2020-07-01,10:35:52,sitaramlamba,Sitaram Lamba,विश्व आज महामारी से रहा है और इस समय जब सभी में है हमारे से रहे है। हमें हमारे और पर है। की,Rajasthan,0,0,0,1,0,0,0
130,2020-07-01,10:31:47,irajendragurjar,Film Maker | Rajendra Gurjar,salute doctor service and thank hope give society challenge time,Rajasthan,1,0,0,0,0,0,0
131,2020-07-01,09:12:33,dharmbeerlamba_,Dharmbeer Singh Lamba,किस तरह की पर छात्र covid पाए गए हैं,Rajasthan,0,0,0,0,0,0,0
132,2020-07-01,08:33:03,mithugodara,Er.Ashish Godara,doctor’s day salute brave doctor who lead battle against covid commitment keep nation safe and healthy challenge time truly nation salute and,Rajasthan,1,0,0,0,0,0,0
133,2020-07-01,22:16:39,drkiritpsolanki,Dr. Kirit Solanki MP,national doctor day express gratitude towards doctor who do job serve people utmost and dedication nation salute doctor and service during covid day,Gujarat,0,0,0,1,0,0,0
134,2020-07-01,21:11:47,jayeshparkar,Dr Jayesh Parkar,gujarat corona update pm,Gujarat,0,0,0,1,0,0,0
135,2020-07-01,20:53:08,umeshppatel,Umesh Patel,covid problem,Gujarat,0,0,0,1,0,0,0
136,2020-07-01,17:39:47,vikashjoshi,ViKasH jOshI,guy cancel international flight book which affected due covid lockdown and refund against charge what shame and fraud call centre shut cannot get anyone please call,Gujarat,0,0,0,0,1,0,0
137,2020-07-01,14:51:14,jaisawalb,B P Jaisawal,poor service definitely not expect market leader like eureka forbes especially during covid period,Gujarat,0,0,0,1,0,0,0
138,2020-07-01,14:48:23,rushabh_jain__,Rushabh jain👑👑,write note respect covid if turn positive covid say tomorrow whole responsibility gujarat government and one who force u exam tough time please,Gujarat,0,0,0,0,0,0,0
139,2020-07-01,14:42:52,ashish_tn,"Ashish Patel, CMT",look who talk mamta ko inform karo need one step get <LAUGH> <LAUGH>,Gujarat,1,0,0,0,0,0,0
140,2020-07-01,13:23:47,rahulmbhandare,ʀᴀʜᴜʟ ʙʜᴀɴᴅᴀʀᴇ_ᴏғғɪᴄɪᴀʟ🇮🇳,doctor hard work keep citizen safe covid,Gujarat,0,0,0,1,0,0,0
141,2020-07-01,13:03:27,shashwativf,Shashwat IVF & Women's Hospital,happy national doctor day word enough express how brave medical battle against covid yet thank warrior world,Gujarat,1,0,0,0,0,0,0
143,2020-07-01,12:34:00,meetpatel220599,meet patel 8844,india salute doctor care giver who fight against covid,Gujarat,0,0,0,0,0,0,1
144,2020-07-01,11:31:41,harshadrajgor69,HARSHAD RAJGOR Gomatiwal,nd wave pending nd wave case may reach per day see   what happens nd wave start double covid case must learn and alert think it’s early,Gujarat,0,0,0,0,1,0,0
145,2020-07-01,11:29:35,chidrupab,CHIDRUPA BHATT,nice know india chaos come wonderful thought want see ekaant sarhad episode like sigriya <HAPPY> <HAPPY> <HAPPY> how abt cambodia after covid lockdown <DOUBT> cambodia akul tripaathi journey <HAPPY> ,Gujarat,1,0,0,0,0,0,0
147,2020-07-01,10:31:32,drkiritpsolanki,Dr. Kirit Solanki MP,िश्व पर मै उन को सलाम करता जो हर दिन हर रात आपातक़ालीन समय में प्रति दिल की कर पर हो जाते है । महामारी हो या और कोई बीमारी की परवाह किए बिना पर आ जाते है ।ाम दिल से,Gujarat,0,0,0,0,0,0,1
149,2020-07-01,08:12:44,meetpatel220599,meet patel 8844,bharat biotech’s covid vaccine set undergo human clinical trial july,Gujarat,0,0,0,1,0,0,0
150,2020-07-01,08:08:44,bankniftydoctor,Dr.Jignesh Shah,today important tip expert change medical file post covid era important and change way join u today pm,Gujarat,0,0,0,1,0,0,0
151,2020-07-01,07:57:23,meetpatel220599,meet patel 8844,when tear need shoulder when pain need medicine but when need hope thanks happy doctor day,Gujarat,0,0,0,0,0,0,1
152,2020-07-01,05:51:54,nazirpatni,Nazir Ahmed Patni نذیراحمد,why cant convert covid centre,Gujarat,0,0,0,0,0,0,0
153,2020-07-01,23:59:30,hira249,Kamlesh  Shah,create and amongst meat eater interest non community must immediately come holder allow without corona test veterinarian,Maharashtra,0,0,0,1,0,0,0
154,2020-07-01,23:00:28,jogalshailaja,Shailaja Shashikant Jogal,रुग्ण रुग्ण रुग्ण आहे एकूण आणि एकूण कोरोना संख्या आहे,Maharashtra,0,0,0,0,0,0,1
155,2020-07-01,22:39:23,navprabhattimes,Navprabhat Times🐦,daily update july pm death report receive last hour death last hour death previous period which add total death,Maharashtra,0,0,0,1,0,0,0
156,2020-07-01,22:38:32,yaminiyjadhav,Yamini Yashwant Jadhav,today aashadhi ekadashi pray corona free and today number positive patient found three hv die and hv cure,Maharashtra,0,0,0,0,1,0,0
157,2020-07-01,22:03:10,himanishivpuri,Himani Shivpuri,big doctor thank corona warrior,Maharashtra,0,0,0,1,0,0,0
158,2020-07-01,21:17:19,uniqueblindorg,Helen Robert D'souza,do not water corona season drinking n hot water make difference avoid drinking bottle water bislery water available many shop beware give corona baby give,Maharashtra,0,0,0,0,0,0,1
159,2020-07-01,21:10:33,vijaysh48223462,VIJAY SHUKLA,mumbai people discipline day day go due corona big,Maharashtra,0,0,0,0,0,0,1
160,2020-07-01,21:01:22,gurudhanyal54,gurupreet singh,corona patient society however information bmc end come know watchman flat also not seal pls check what happen how corona control,Maharashtra,0,0,0,0,1,0,0
161,2020-07-01,20:47:18,gnkamat,Er.Ganesh Kamat M.S(USA)50yrExp Public Health Engr,present job need hour <OBJECT> after opening state why not open district <PERSON> migrant msme <SPACE-TIME> job dueto <SPACE-TIME> book local ticket train time boogie <SYMBOLS> num road must weekly corona  note,Maharashtra,0,0,0,1,0,0,0
162,2020-07-01,20:10:29,rajshriartist,Rajshri Deshpande,hope omeone come and save u hour complicate and dangerous people feed munna ji during corona pandemic but long term solution find home,Maharashtra,0,0,0,0,0,0,1
165,2020-07-01,20:00:44,vermaudayraj1,Verma Udayraj,corona वायरस,Maharashtra,0,0,0,1,0,0,0
166,2020-07-01,19:21:31,sarcaser69,sarcaser69,ka itna mood tha but corona ne laga diye,Maharashtra,0,0,0,1,0,0,0
167,2020-07-01,19:15:47,chaurasiaaj,AJAY CHAURASIA,let devotee stand border and least soldier india safe and country tell yogi when pradesh free corona get corona government food or also do work,Maharashtra,0,0,0,0,0,0,0
168,2020-07-01,18:32:53,keshmu2006,mukesh Mishra,corona performance law and order police provide police logo use ajaj tweeter pic increment uddhav thackeray government department,Maharashtra,0,0,0,1,0,0,0
169,2020-07-01,18:04:48,pareshkatariaa,Paresh Kataria,corona virus indian wedding do guest not others who attend ki sabzi,Maharashtra,0,0,0,1,0,0,0
170,2020-07-01,18:03:50,niteshcasm,Nitesh,if corona cannot take may <LOVE>,Maharashtra,0,0,0,1,0,0,0
171,2020-07-01,17:29:22,gnkamat,Er.Ganesh Kamat M.S(USA)50yrExp Public Health Engr,present job need hour <OBJECT> after opening state why not open district <PERSON> migrant msme <SPACE-TIME> <SAD> job dueto <SPACE-TIME> book local ticket train time boogie <SYMBOLS> num road must weekly corona  note,Maharashtra,0,0,0,1,0,0,0
172,2020-07-01,17:28:08,mushtaqansari80,Mushtaq Ansari 🇮🇳#PotholeWarriors #FeedTheNeedy,shame u u get corona god teach u,Maharashtra,0,0,0,0,0,0,1
